iter	RMSE
0	0.01320843473
1	0.0129996055
2	0.01279713822
3	0.01262468433
4	0.01243054726
5	0.01228358801
6	0.01212560214
7	0.01196224352
8	0.01184470204
9	0.01171445366
10	0.01157076267
11	0.0114123659
12	0.01127914911
13	0.01118086547
14	0.01108482367
15	0.01098168919
16	0.01087840517
17	0.01074944403
18	0.01064530383
19	0.01053856986
20	0.01044872927
21	0.01035949359
22	0.01027931389
23	0.01019473657
24	0.01011961597
25	0.01005117137
26	0.009986563567
27	0.009916420639
28	0.009815779788
29	0.009744073103
30	0.009693602316
31	0.009632297544
32	0.009547932057
33	0.009500011793
34	0.009441141153
35	0.009385480915
36	0.009332157734
37	0.009267090273
38	0.009217927399
39	0.009172919596
40	0.00912540827
41	0.009054794202
42	0.00900931933
43	0.008966706243
44	0.008925105936
45	0.008883342444
46	0.008832793672
47	0.008800220791
48	0.008767318073
49	0.008726769304
50	0.008678538228
51	0.008619330935
52	0.008584881418
53	0.008539410245
54	0.008499573527
55	0.008464455442
56	0.008427293105
57	0.00839180536
58	0.008352093651
59	0.00831603306
60	0.008282138329
61	0.008257530251
62	0.008225941126
63	0.008203977447
64	0.008179185868
65	0.008139851469
66	0.008115427009
67	0.008089935047
68	0.008063513195
69	0.008031247645
70	0.007997947061
71	0.007970517964
72	0.007933395637
73	0.007904492763
74	0.007881083593
75	0.007850922296
76	0.007819446568
77	0.007798335966
78	0.007776902947
79	0.007752298139
80	0.007721825378
81	0.00770639113
82	0.007687444091
83	0.007668066212
84	0.007644529872
85	0.007618865917
86	0.007596658007
87	0.007582003038
88	0.007569852402
89	0.00755426043
90	0.007535030052
91	0.007521064409
92	0.007493744393
93	0.007470785005
94	0.007444828043
95	0.007423067728
96	0.007401737478
97	0.007380533788
98	0.007359282483
99	0.007333784483
100	0.007331932224
101	0.007307644652
102	0.007295175657
103	0.007269779221
104	0.007251951669
105	0.007229448139
106	0.007209409217
107	0.007197016215
108	0.007175958646
109	0.007148661157
110	0.007129676638
111	0.007106326105
112	0.007079553222
113	0.00706617564
114	0.007050086585
115	0.007030149537
116	0.007009033708
117	0.006994479205
118	0.006983678098
119	0.006961844238
120	0.006950738162
121	0.006936433536
122	0.006919826922
123	0.006907594632
124	0.006895894925
125	0.006882480059
126	0.006866522133
127	0.006853341197
128	0.006838033967
129	0.006818585101
130	0.006807933617
131	0.006793783465
132	0.006778418561
133	0.006759434065
134	0.006746879496
135	0.006727422353
136	0.006707129199
137	0.006693667296
138	0.006681489757
139	0.006670148296
140	0.006655413943
141	0.006638752002
142	0.00662108216
143	0.006607221323
144	0.006595408142
145	0.006584622219
146	0.006574305524
147	0.006562397998
148	0.00654598118
149	0.006530441135
150	0.006521502668
151	0.006506928075
152	0.00649217564
153	0.006472624367
154	0.006457748681
155	0.00643377717
156	0.006422158818
157	0.006409670768
158	0.006393127193
159	0.006380142322
160	0.006366103638
161	0.006356756343
162	0.006348262669
163	0.006343827674
164	0.006328170393
165	0.0063134077
166	0.006305805709
167	0.006293205217
168	0.006277830725
169	0.006261020161
170	0.006248477417
171	0.006232956412
172	0.006225891679
173	0.0062109284
174	0.006198600717
175	0.006189307777
176	0.006172920564
177	0.006160019893
178	0.006145997304
179	0.006132511149
180	0.006119566394
181	0.006107553933
182	0.006095087101
183	0.006084628633
184	0.006075836653
185	0.006068240052
186	0.00605723395
187	0.006048793399
188	0.006037875188
189	0.006021193747
190	0.006007365796
191	0.005997394253
192	0.005984409468
193	0.005974411329
194	0.005962310848
195	0.005955297998
196	0.00594310524
197	0.005927679224
198	0.0059173905
199	0.005902801287
200	0.005895716683
201	0.005884513223
202	0.005875763076
203	0.005867645848
204	0.005853029037
205	0.005840025548
206	0.005828357753
207	0.005816374439
208	0.005807769498
209	0.005796799636
210	0.00578605555
211	0.005776946219
212	0.005765338939
213	0.005752139022
214	0.005746430706
215	0.005733184658
216	0.005722874263
217	0.005710990767
218	0.00570089743
219	0.005689964537
220	0.005682547846
221	0.005672165871
222	0.005662003584
223	0.005654788282
224	0.005642439473
225	0.005634030006
226	0.005624522686
227	0.005611206238
228	0.005600567865
229	0.005588634182
230	0.005580677162
231	0.005572717135
232	0.005562378278
233	0.005554257099
234	0.005544706609
235	0.005535938055
236	0.005528325102
237	0.005519599586
238	0.005506858482
239	0.005496801868
